	10YQR00FX001XQ02	10YCR00FX001XQ02	10YQR00FX901XQ02
26.09.2012 02:52:50.000	99.1301433333333	99.0033533333333	99.59812
26.09.2012 02:53:00.000	99.1244633333333	98.94616	99.61363
26.09.2012 02:53:10.000	99.08894	98.9625	99.8367433333333
26.09.2012 02:53:20.000	99.1248933333333	98.9768	99.78077
26.09.2012 02:53:30.000	99.1304933333333	98.9849766666667	99.8392166666667
26.09.2012 02:53:40.000	99.10253	98.95638	100.164503333333
26.09.2012 02:53:50.000	99.1893633333333	99.0258233333333	99.9560133333333
26.09.2012 02:54:00.000	99.19231	99.0319566666667	99.81517
26.09.2012 02:54:10.000	99.1194833333333	99.01766	99.8067466666667
26.09.2012 02:54:20.000	99.1551366666667	99.0258233333333	100.11722
26.09.2012 02:54:30.000	99.1211766666667	99.04012	99.8573633333333
26.09.2012 02:54:40.000	99.1357266666667	99.01153	100.024496666667
26.09.2012 02:54:50.000	99.12325	98.9604566666667	99.9545966666667
26.09.2012 02:55:00.000	99.1133866666667	98.99314	99.9437833333333
26.09.2012 02:55:10.000	99.14226	98.9502366666667	99.93068
26.09.2012 02:55:20.000	99.16446	99.0074466666667	99.8856366666667
26.09.2012 02:55:30.000	99.15843	99.00948	99.9487233333333
26.09.2012 02:55:40.000	99.2028066666667	99.0483	100.03313
26.09.2012 02:55:50.000	99.14501	99.0217366666667	100.035083333333
26.09.2012 02:56:00.000	99.1264333333333	99.0074366666667	100.09983
26.09.2012 02:56:10.000	99.1472733333333	99.0523933333333	99.90861
26.09.2012 02:56:20.000	99.1639566666667	99.00948	100.064013333333
26.09.2012 02:56:30.000	99.21669	99.0523766666667	99.8488933333333
26.09.2012 02:56:40.000	99.20158	99.0585133333333	99.6309
26.09.2012 02:56:50.000	99.20865	99.0666833333333	99.80669
26.09.2012 02:57:00.000	99.1859933333333	99.07076	99.9482266666667
26.09.2012 02:57:10.000	99.1672133333333	99.07486	99.9620366666667
26.09.2012 02:57:20.000	99.1957266666667	99.0135733333333	100.120393333333
26.09.2012 02:57:30.000	99.2213633333333	99.0687266666667	100.161546666667
26.09.2012 02:57:40.000	99.27199	99.0687266666667	100.07732
26.09.2012 02:57:50.000	99.1579166666667	99.0033533333333	100.099716666667
26.09.2012 02:58:00.000	99.2007566666667	99.1055	100.081656666667
26.09.2012 02:58:10.000	99.2800633333333	99.1524733333333	99.86049
26.09.2012 02:58:20.000	99.2709066666667	99.1626966666667	99.78304
26.09.2012 02:58:30.000	99.27675	99.1340966666667	99.9275633333333
26.09.2012 02:58:40.000	99.29239	99.1667733333333	100.123713333333
26.09.2012 02:58:50.000	99.3134033333333	98.9768066666667	100.358926666667
26.09.2012 02:59:00.000	99.33829	99.15043	100.202003333333
26.09.2012 02:59:10.000	99.3366366666667	99.1851566666667	99.9947933333333
26.09.2012 02:59:20.000	99.27141	99.1381766666667	99.7858
26.09.2012 02:59:30.000	99.2552966666667	99.1769933333333	100.24655
26.09.2012 02:59:40.000	99.2446533333333	99.1218266666667	100.21709
26.09.2012 02:59:50.000	99.2129633333333	99.0993666666667	100.01175
26.09.2012 03:00:00.000	99.2424	99.0585133333333	99.96277
26.09.2012 03:00:10.000	99.21451	99.07281	99.8804866666667
26.09.2012 03:00:20.000	99.1361733333333	99.04217	99.86516
26.09.2012 03:00:30.000	99.1485033333333	99.0360433333333	99.91424
26.09.2012 03:00:40.000	99.1381666666667	98.9829333333333	100.0423
26.09.2012 03:00:50.000	99.12951	98.9134766666667	100.037126666667
26.09.2012 03:01:00.000	99.1168933333333	98.88488	100.08781
26.09.2012 03:01:10.000	99.0785333333333	98.9747566666667	99.77247
26.09.2012 03:01:20.000	99.0140533333333	98.88488	99.76316
26.09.2012 03:01:30.000	99.0024666666667	98.8501533333333	99.73667
26.09.2012 03:01:40.000	98.9182766666667	98.8133866666667	99.58689
26.09.2012 03:01:50.000	98.8520266666667	98.7010266666667	99.4791
26.09.2012 03:02:00.000	98.73452	98.6765133333333	99.5984633333333
26.09.2012 03:02:10.000	98.7661366666667	98.6254566666667	99.7162933333333
26.09.2012 03:02:20.000	98.8096666666667	98.6458733333333	99.5395433333333
26.09.2012 03:02:30.000	98.82351	98.69694	99.2927666666667
26.09.2012 03:02:40.000	98.7614833333333	98.64383	99.3458333333333
26.09.2012 03:02:50.000	98.79921	98.68265	99.4988266666667
