KKSBusher	KKSNVnpp	name	Unit
11YQS10CT003XQ01	11JAA21CT703XQ01	ро-3	oC
11YQS10CT004XQ01	11JAA21CT704XQ01	ро-1ю	oC
11YQS11CT001XQ01	11JAA21CT711XQ01	ро-1б	oC
11YQS11CT002XQ01	11JAA21CT712XQ01	ря ймхр	oC
11YQS11CT003XQ01	11JAA21CT713XQ01	ро-3	oC
11YQS11CT004XQ01	11JAA21CT714XQ01	ро-1ю	oC
11YQS12CT001XQ01	11JAA21CT721XQ01	ро-1б	oC
11YQS12CT002XQ01	11JAA21CT722XQ01	ро-3	oC
11YQS12CT003XQ01	11JAA21CT723XQ01	ро-1ю	oC
11YQS12CT004XQ01	11JAA21CT724XQ01	ро-1б	oC
11YQS13CT001XQ01	11JAA21CT731XQ01	ря ймхр	oC
11YQS13CT002XQ01	11JAA21CT732XQ01	ро-3	oC
11YQS13CT003XQ01	11JAA21CT733XQ01	ро-1ю	oC
11YQS13CT004XQ01	11JAA21CT734XQ01	ро-1б	oC
11YQS14CT001XQ01	11JAA21CT741XQ01	ро-3	oC
11YQS14CT002XQ01	11JAA21CT742XQ01	ро-1ю	oC
11YQS14CT003XQ01	11JAA21CT743XQ01	ро-1б	oC
11YQS14CT004XQ01	11JAA21CT744XQ01	ря ймхр	oC
11YQS15CT001XQ01	11JAA21CT751XQ01	ро-3	oC
11YQS15CT002XQ01	11JAA21CT752XQ01	ро-1ю	oC
11YQS15CT003XQ01	11JAA21CT753XQ01	ро-1б	oC
11YQS15CT004XQ01	11JAA21CT754XQ01	ро-3	oC
11YQS16CT001XQ01	11JAA21CT761XQ01	ро-1ю	oC
11YQS16CT002XQ01	11JAA21CT762XQ01	ро-1б	oC
11YQS16CT003XQ01	11JAA21CT763XQ01	ря ймхр	oC
11YQS16CT004XQ01	11JAA21CT764XQ01	ро-3	oC
11YQS17CT001XQ01	11JAA21CT771XQ01	ро-1ю	oC
11YQS17CT002XQ01	11JAA21CT772XQ01	ро-1б	oC
11YQS17CT003XQ01	11JAA21CT773XQ01	ро-3	oC
11YQS17CT004XQ01	11JAA21CT774XQ01	ро-1ю	oC
11YQS18CT001XQ01	11JAA31CT701XQ01	ро-1б	oC
11YQS18CT002XQ01	11JAA31CT702XQ01	ря ймхр	oC
11YQS18CT003XQ01	11JAA31CT703XQ01	ро-3	oC
11YQS18CT004XQ01	11JAA31CT704XQ01	ро-1ю	oC
11YQS19CT001XQ01	11JAA31CT711XQ01	ро-1б	oC
11YQS19CT002XQ01	11JAA31CT712XQ01	ро-3	oC
11YQS19CT003XQ01	11JAA31CT713XQ01	ро-1ю	oC
11YQS19CT004XQ01	11JAA31CT714XQ01	ро-1б	oC
11YQS20CT001XQ01	11JAA31CT721XQ01	ря ймхр	oC
11YQS20CT002XQ01	11JAA31CT722XQ01	ро-3	oC
11YQS20CT003XQ01	11JAA31CT723XQ01	ро-1ю	oC
11YQS20CT004XQ01	11JAA31CT724XQ01	ро-1б	oC
11YQS21CT001XQ01	11JAA31CT731XQ01	ро-3	oC
11YQS21CT002XQ01	11JAA31CT732XQ01	ро-1ю	oC
11YQS21CT003XQ01	11JAA31CT733XQ01	ро-1б	oC
11YQS21CT004XQ01	11JAA31CT734XQ01	ря ймхр	oC
11YQS22CT001XQ01	11JAA31CT741XQ01	ро-3	oC
11YQS22CT002XQ01	11JAA31CT742XQ01	ро-1ю	oC
11YQS22CT003XQ01	11JAA31CT743XQ01	ро-1б	oC
11YQS22CT004XQ01	11JAA31CT744XQ01	ро-3	oC
11YQS23CT001XQ01	11JAA31CT751XQ01	ро-1ю	oC
11YQS23CT002XQ01	11JAA31CT752XQ01	ро-1б	oC
11YQS23CT003XQ01	11JAA31CT753XQ01	ря ймхр	oC
11YQS23CT004XQ01	11JAA31CT754XQ01	ро-3	oC
